code,trade_date,open,high,low,close,volume,amount,turn,pe_ttm
sh.600184,2026-06-30,29.79,32.01,29.62,32.01,42705657,1317062752.46,7.3286,364.009415
sh.600185,2026-06-29,4.51,4.57,4.41,4.52,21510263,96839219.72,1.1411,-9.473112
sh.600185,2026-06-30,4.53,4.56,4.45,4.5,16525339,74411388.36,0.8767,-9.431195
sh.600186,2026-06-29,14.14,14.58,13.25,13.32,223680417,3054793184.01,12.5021,67.916855
sh.600186,2026-06-30,13.35,14.2,12.97,14.0,176513334,2411267277.13,9.8658,71.384081
sh.600188,2026-06-29,17.98,18.49,17.58,18.42,52705339,956271200.7,0.8841,19.351849
sh.600188,2026-06-30,18.35,18.39,17.44,17.77,57678047,1021023709.07,0.9675,18.668966
sh.600189,2026-06-29,7.43,7.68,7.34,7.51,14143665,106452618.35,1.9776,268.395678
sh.600189,2026-06-30,7.51,7.64,7.38,7.53,12361779,92980925.09,1.7284,269.110447
sh.600191,2026-06-29,9.6,9.77,8.94,9.32,16637181,155504536.0,3.4308,65.770926
sh.600191,2026-06-30,9.32,9.57,9.01,9.1,10260354,94719807.7,2.1158,64.218393
sh.600192,2026-06-29,6.57,6.73,6.3,6.56,10105500,65482315.0,2.2876,-7.941658
sh.600192,2026-06-30,6.52,6.62,6.38,6.6,7981295,52197964.4,1.8068,-7.990083
sh.600195,2026-06-29,5.91,6.08,5.76,6.07,8848900,52796886.0,0.8666,47.142535
sh.600195,2026-06-30,6.03,6.06,5.85,5.9,7672661,45335854.03,0.7514,45.822233
sh.600196,2026-06-29,21.12,22.75,20.85,22.73,51353083,1140390847.05,2.424,17.459111
sh.600196,2026-06-30,22.73,22.73,22.07,22.47,34605574,773149332.41,1.6335,17.259403
sh.600197,2026-06-29,9.46,9.73,9.2,9.72,6851020,65433634.92,1.4479,25.975642
sh.600197,2026-06-30,9.65,9.74,9.49,9.6,5035300,48343452.0,1.0642,25.654955
sh.600198,2026-06-29,9.63,9.77,8.99,9.24,60998187,569018184.72,4.6851,-246.666244
sh.600198,2026-06-30,9.08,9.7,8.8,9.65,64700751,607207836.56,4.9695,-257.611391
sh.600199,2026-06-29,6.16,6.45,6.09,6.3,13275997,83422131.58,2.0183,-23.695366
sh.600199,2026-06-30,6.26,6.32,6.03,6.11,13043744,79896574.1,1.9829,-22.980744
sh.600201,2026-06-29,11.49,12.05,11.2,11.85,25689016,302144546.9,2.3107,126.342771
sh.600201,2026-06-30,11.85,11.85,11.42,11.65,17136331,198353514.07,1.5414,124.210403
sh.600202,2026-06-29,4.61,4.73,4.38,4.57,10560800,47970660.0,2.7549,-130.354545
